"key", "en", "fr", "es", "ru", "ge", "po", "ma", "pl", "it", "ch", "tu", "vi", "uk", "hi", "in", "ar"
"options", "Options", "Options", "Opciones", "Параметры", "Optionen", "Opções", "Pilihan", "Opcje", "Opzioni", "选项", "Seçenekler", "Tùy chọn", "Параметри", "विकल्प", "Pilihan", "خيارات"
"language", "Language", "Langue", "Idioma", "язык", "Sprache", "Idioma", "Bahasa", "Język", "Lingua", "语言", "Dil", "Ngôn ngữ", "Мова", "भाषा", "Bahasa", "لغة"
"language_current", "English", "Français", "Español", "русский", "Deutsche", "Portougese", "Melayu", "Polski", "Italiano", "中文", "Türk", "Việt", "Українська", "हिंदी", "Indonesia", "عربى"
"on", "ON", "ACTIF", "ACTIVO", "ВКЛЮЧЕННЫЙ", "AN", "ATIVO", "AKTIF", "WŁĄCZONE", "ATTIVATO", "活性", "AÇIK", "HOẠT ĐỘNG", "ВКЛЮЧЕНО", "सक्रिय", "AKTIF", "نشط"
"off", "OFF", "INACTIF", "INACTIVO", "ВЫКЛЮЧЕНО", "AUF", "INATIVO", "TIDAK ACTIF", "WYŁĄCZONE", "SPENTO", "关", "KAPALI", "KHÔNG HOẠT ĐỘNG", "ВИМКНЕНИЙ", "निष्क्रिय", "TIDAK AKTIF", "غير نشط"
"sounds", "Sounds", "Des sons", "Sonidos", "Звуки", "Geräusche", "Sons", "Bunyi", "Dźwięki", "Suoni", "声音", "Sesler", "Âm thanh", "Звуки", "ध्वनि", "Suara", "الاصوات"
"music", "Music", "La musique", "Música", "Музыка", "Musik", "Música", "Muzik", "Muzyka", "Musica", "音乐", "Müzik", "Âm nhạc", "Музика", "संगीत", "Musik", "الموسيقي"
"select_language", "Select Language", "Choisir la Langue", "Seleccione el Idioma", "Выберите язык", "Sprache Auswählen", "Selecione o Idioma", "Pilih Bahasa", "Wybierz Język", "Seleziona Lingua", "选择语言", "Dil Seçin", "Chọn Ngôn ngữ", "Оберіть мову", "भाषा का चयन करें", "Pilih Bahasa", "اختر اللغة"
"confirm", "Confirm", "Confirmer", "Confirmar", "Подтверждение", "Bestätigen", "Confirmar", "Mengesahkan", "Potwierdź", "Confermare", "确认", "Onayla", "Xác nhận", "Підтвердьте", "पुष्टि करें", "Konfirmasi", "تاكيد"
"paused", "Paused", "Pause", "Pausa", "Приостановлена", "Angehalten", "Pausa", "Dijeda", "Pauza", "Pausa", "已暂停", "Duraklatıldı", "Tạm dừng", "Призупинено", "रोके गए", "Berhenti", "متوقف مؤقتًا"
"death", "You Died", "Tu Es Mort", "Te Moriste", "Ты умер", "Du Bist Gestorben", "Você Morreu", "Permainan Tamat", "Umarłeś", "Sei Morto", "你死了", "Öldün", "Bạn đã chết", "Ти помер", "आप मर गए", "Anda Meninggal", "لقد مت"
"highscore", "Highscore:", "Record:", "Récord:", "рекорд:", "Rekord:", "Recorde:", "Rekod:", "Rekord:", "Record:", "最好成绩:", "Rekor:", "Điểm cao:", "рекорд:", "सर्वश्रेष्ठ अंक:", "Rekor:", "أفضل نقاط:"
"score", "Score:", "Score:", "Puntuación:", "балл:", "Ergebnis:", "Pontuação:", "Skor:", "Wynik:", "Punteggio:", "得分了:", "Puanlar:", "Điểm:", "бали:", "स्कोर:", "Skor:", "نقاط:"
"error", "Error :/", "Erreur :/", "Error :/", "ошибка :/", "Fehler :/", "Erro :/", "kesilapan :/", "błąd :/", "Errore :/", "错误 :/", "hata :/", "lỗi :/", "помилка :/", "त्रुटि :/", "kesalahan :/", "الخطا :/"
"quit", "exit", "quitter", "dejar", "уволиться", "Verlassen", "Sair", "berhenti", "Wyjdź", "uscire", "退出", "çıkmak", "ly khai", "кинути", "छोड़ना", "keluar", "خروج"
"errorPara", "DISK FULL: Features of this game will not work if there is not enough storage space on the device, and you would be at risk of losing your game data.", "DISQUE COMPLET: Les fonctionnalités de ce jeu ne fonctionnera pas s’il n’y a pas assez d’espace de stockage sur l’appareil, et vous seriez à risque de perdre vos données de jeu.", "DISCO COMPLETO: Las características de este juego no funcionarán si no hay suficiente espacio de almacenamiento en el dispositivo, y usted estaría en riesgo de perder los datos del juego.", "ДИСК ПОЛОН: Особенности этой игры не будет работать, если не хватает места для хранения на устройстве, и вы будете рискуют потерять свои игровые данные.", "FESTPLATTE VOLL: Die Funktionen dieses Spiels funktionieren nicht, wenn nicht genügend Speicherplatz auf dem Gerät vorhanden ist und Sie Gefahr laufen, Ihre Spieldaten zu verlieren.", "DISCO CHEIO: As funcionalidades deste jogo não funcionarão se não houver espaço de armazenamento suficiente no dispositivo, e correrias o risco de perderes os teus dados do jogo.", "CAKERA PENUH: Ciri-ciri permainan ini tidak akan berfungsi jika ruang storan yang tidak mencukupi pada peranti, dan anda berisiko kehilangan data permainan anda.", "DYSK PEŁNY: Funkcje tej gry nie będzie działać, jeśli nie ma wystarczającej ilości miejsca na urządzeniu, i będzie na ryzyko utraty danych gry.", "DISCO PIENO: Le caratteristiche di questo gioco non funzioneranno se non c'è abbastanza spazio di archiviazione sul dispositivo e si sarebbe a rischio di perdere i dati di gioco.", "磁盘已满: 如果设备上没有足够的存储空间, 此游戏的功能将不起作用, 并且您有丢失游戏数据的风险.", "DISK DOLU: Cihazda yeterli depolama alanı yoksa bu oyunun özellikleri çalışmaz ve oyun verilerinizi kaybetme riski yle karşı lanırsınız.", "ĐĨA ĐẦY ĐỦ: Các tính năng của trò chơi này sẽ không hoạt động nếu không có đủ dung lượng lưu trữ trên thiết bị và bạn sẽ có nguy cơ mất dữ liệu trò chơi của mình.", "ДИСК ЗАПОВНЕНО: Особливості цієї гри не буде працювати, якщо не вистачає місця для зберігання на пристрої, і ви б ризик втратити дані гри.", "डिस्क पूर्ण: यदि डिवाइस पर पर्याप्त भंडारण स्थान नहीं है तो इस गेम की विशेषताएं काम नहीं करेंगी, और आपको अपने गेम डेटा को खोने का खतरा होगा।", "DISK PENUH. Fitur game ini tidak akan berfungsi jika tidak ada cukup ruang penyimpanan pada perangkat, dan Anda akan berisiko kehilangan data game Anda.", "القرص الكامل: لن تعمل ميزات هذه اللعبة إذا لم يكن هناك مساحة تخزين كافية على الجهاز ، وستكون في خطر فقدان بيانات اللعبة الخاصة بك."
"errorPara2", "Please clear some space on your device to play.", "S’il vous plaît effacer un peu d’espace sur votre appareil pour jouer.", "Por favor, despeje un poco de espacio en su dispositivo para jugar.", "Пожалуйста, очистите некоторое пространство на вашем устройстве, чтобы играть.", "Bitte räumen Sie etwas Platz auf Ihrem Gerät, um zu spielen.", "Por favor, limpe um pouco de espaço no seu dispositivo para jogar.", "Sila kosongkan sedikit ruang pada peranti anda untuk dimainkan.", "Wyczyść trochę miejsca na urządzeniu, aby grać.", "Si prega di liberare un po 'di spazio sul dispositivo per giocare.", "请清除设备上的一些空间以进行播放.", "Lütfen oynamak için cihazınızda biraz yer temizleyin.", "Vui lòng xóa một số dung lượng trên thiết bị của bạn để phát.", "Зніміть місце для відтворення пристрою.", "कृपया खेलने के लिए अपने डिवाइस पर कुछ जगह साफ करें।", "Silakan kosongkan beberapa ruang pada perangkat Anda untuk bermain.", "يرجى مسح بعض المساحة على جهازك للعب."
"tut1", "Did you think I couldn't see you there?", "Tu pensais que je ne pouvais pas te voir là-bas?", "¿Pensaste que no podía verte allí?", "Ты думала, что я не увижу тебя там?", "Glaubst du, dass ich dich dort nicht sehen konnte?", "Achou que não podia vê-lo lá?", "Adakah anda fikir saya tidak dapat melihat anda di sana?", "Czy myślałeś, że nie mogłem cię tam zobaczyć?", "Pensavi che non potessi vederti lì?", "你以为我在那儿看不到你吗?", "Seni orada göremediğimi mi sandın?", "Anh có nghĩ là tôi không thể thấy anh ở đó không?", "Ти думав, що я тебе там не побачиш?", "क्या आपको लगता है कि मैं तुम्हें वहाँ नहीं देख सकता था?", "Apakah Anda pikir saya tidak bisa melihat Anda di sana?", "هل ظننتي أنني لم أستطع رؤيتك هناك؟"
"tut2", "Don't worry, I'm not going to try and stop you. If anything I can help you since you're so eager to get out of here.", "Ne t’inquiète pas, je ne vais pas essayer de t’arrêter. Si quelque chose que je peux vous aider puisque vous êtes si impatient de sortir d’ici.", "No te preocupes, no voy a tratar de detenerte. Si algo puedo ayudarte ya que estás tan ansioso por salir de aquí.", "Не волнуйся, я не собираюсь тебя останавливать. Во всяком случае, я могу помочь вам, так как вы так хотите выбраться отсюда.", "Keine Sorge, ich werde nicht versuchen, dich aufzuhalten. Wenn überhaupt, kann ich Ihnen helfen, da Sie so eifrig sind, hier rauszukommen.", "Não se preocupe, não vou tentar impedi-lo. Se posso ajudá-lo, já que está tão ansioso para sair daqui.", "Jangan bimbang, saya tidak akan mencuba dan menghalang anda. Jika apa-apa yang saya boleh membantu anda kerana anda begitu bersemangat untuk keluar dari sini.", "Nie martw się, nie zamierzam cię powstrzymać. Jeśli coś mogę ci pomóc, ponieważ jesteś tak chętny, aby wydostać się stąd.", "Non preoccuparti, non proverò a fermarti. Semmai posso aiutarti visto che sei così ansioso di uscire di qui.", "别担心 我不会试图阻止你的. 如果有什么我可以帮你的, 因为你非常渴望离开这里.", "Merak etme, seni durdurmaya çalışmayacağım. Buradan çıkmaya bu kadar hevesli olduğun için sana yardım edebileceğim bir şey varsa.", "Đừng lo, tôi sẽ không cố ngăn cản anh đâu. Nếu bất cứ điều gì tôi có thể giúp bạn kể từ khi bạn đang rất mong muốn có được ra khỏi đây.", "Не хвилюйся, я не збираюся намагатися зупинити тебе. Якщо що-небудь я можу вам допомогти, так як ви так хочуть, щоб вибратися звідси.", "चिंता मत करो, मैं कोशिश करते है और आप को रोकने के लिए नहीं जा रहा हूं । अगर कुछ भी मैं आपकी मदद कर सकता हूं क्योंकि आप यहां से बाहर निकलने के लिए बहुत उत्सुक हैं।", "Jangan khawatir, aku tidak akan mencoba menghentikanmu. Jika ada yang bisa membantumu karena kau sangat ingin keluar dari sini.", "لا تقلق، لن أحاول إيقافك إذا كان يمكنني مساعدتك منذ كنت حريصة جدا على الخروج من هنا."
"tut3", "You and the rogue 'Springman' module are going to have to cooperate if you're both looking to escape.", "Vous et le module 'Springman' voyous vont devoir coopérer si vous cherchez tous les deux à s’échapper.", "Tú y el pícaro módulo 'Springman' tendrán que cooperar si ambos quieren escapar.", "Вы и изгоев 'Springman' модуль придется сотрудничать, если вы оба хотите бежать.", "Sie und das schurkenhafte 'Springman'-Modul müssen zusammenarbeiten, wenn Sie beide auf der Suche nach Flucht sind.", "Tu e o módulo 'Springman' vão ter de cooperar se ambos quiserem fugir.", "Anda dan modul 'Springman' penyangak akan perlu bekerjasama jika anda berdua ingin melarikan diri.", "Ty i nieuczciwych 'Springman' moduł będzie musiał współpracować, jeśli jesteś zarówno chce uciec.", "Tu e il modulo canaglia 'Springman' si sta andando ad avere a cooperare se siete entrambi cercando di fuggire.", "你和流氓 'Springman' 模块将不得不合作, 如果你们都想逃跑.", "İkiniz de kaçmak istiyorsanız siz ve haydut 'Springman' modülü işbirliği yapmak zorundasınız.", "Bạn và các rogue 'Springman' mô-đun sẽ phải hợp tác nếu cả hai bạn đang tìm kiếm để thoát khỏi.", "Вам і ізгоїв 'Springman' модуль доведеться співпрацювати, якщо ви обидва хочете втекти.", "आप और दुष्ट 'स्प्रिंगमैन' मॉड्यूल को सहयोग करना होगा यदि आप दोनों भागने की तलाश में हैं।", "Anda dan modul 'Springman' nakal akan harus bekerja sama jika Anda berdua ingin melarikan diri.", "أنت و مارق 'سبرينغمان' وحدة ستكون لدينا للتعاون إذا كنت تبحث على حد سواء للهروب."
"tut4", "As the operator, your job will be to move platforms underneath the 'Springman' to let him create an ascending path.", "En tant qu’opérateur, votre travail sera de déplacer des plates-formes sous le 'Springman' pour le laisser créer un chemin ascendant.", "Como operador, su trabajo será mover plataformas debajo del 'Springman' para permitirle crear un camino ascendente.", "Как оператор, ваша работа будет двигаться платформ под "Springman", чтобы позволить ему создать восходящий путь.", "Als Operator wird es Ihre Aufgabe sein, Plattformen unter dem 'Springman' zu verschieben, damit er einen aufsteigenden Pfad erstellen kann.", "Como operador, o seu trabalho será mover plataformas por baixo do 'Springman' para deixá-lo criar um caminho ascendente.", "Sebagai pengendali, tugas anda adalah untuk memindahkan platform di bawah 'Springman' untuk membiarkan dia mencipta jalan yang naik.", "Jako operator, Twoim zadaniem będzie przeniesienie platform pod 'Springman', aby pozwolić mu stworzyć ścieżkę wznoszącą.", "Come operatore, il vostro compito sarà quello di spostare le piattaforme sotto il 'Springman' per fargli creare un percorso ascendente.", "作为操作员, 您的工作将是在 'Springman' 下方移动平台, 让他创建提升路径.", "Operatör olarak, işiniz onu yükselen bir yol oluşturmak için 'Springman' altında platformlar taşımak olacaktır.", "Là nhà điều hành, công việc của bạn sẽ là di chuyển các nền tảng bên dưới 'Springman' để cho phép anh ta tạo ra một con đường tăng dần.", "Як оператор, ваша робота буде рухатися платформи під 'Springman', щоб дозволити йому створити висхідний шлях.", "ऑपरेटर के रूप में, आपका काम 'स्प्रिंगमैन' के नीचे प्लेटफार्मों को स्थानांतरित करने के लिए उसे एक आरोही रास्ता बनाने के लिए किया जाएगा।", "Sebagai operator, tugas Anda adalah memindahkan platform di bawah 'Springman' untuk membiarkannya menciptakan jalur naik.", "كمشغل، سيكون عملك هو نقل المنصات تحت "سبرينغمان" للسماح له بإنشاء مسار تصاعدي."
